a	1349974	12092
aa	210	132
aaa	46	23
aaaa	12	9
aaaaa	3	3
aaaaaaaaaah	3	3
aaaaaaah	4	4
aaaaaah	7	7
aaaaah	21	14
aaaaahhhh	4	4
aaaah	37	28
aaaargh	10	5
aaagh	3	3
aaah	117	62
aaahh	7	7
aaahhh	16	10
aaahhhh	5	4
aaai	9	5
aaargh	19	9
aaau	3	3
aachen	11	8
aacho	4	4
aage	42	6
aagh	8	8
aah	546	185
aahh	17	11
aahhh	6	5
aai	4	4
aalemanha	5	4
aamir	8	5
aan	11	3
aang	224	23
aaquela	3	3
aardvark	7	5
aargh	17	9
aarne	3	3
aaron	715	146
aarons	9	4
aaronson	9	7
aarón	5	3
aas	12	10
aau	4	3
aaya	15	3
ab	91	58
aba	39	24
ababuo	20	3
abacate	57	45
abacates	13	9
abacaxi	176	128
abacaxis	15	11
abaddon	11	3
abade	232	42
abadessa	20	12
abadia	98	46
abadias	12	6
abafa	17	15
abafada	25	24
abafadas	3	3
abafado	138	126
abafador	6	6
abafadores	4	4
abafados	21	16
abafando	14	14
abafar	63	58
abafaram	8	8
abafava	3	3
abafou	13	11
abagnale	46	3
abaiada	3	3
abaixa	477	332
abaixada	186	149
abaixadas	49	46
abaixado	231	180
abaixados	166	125
abaixam	30	30
abaixamos	14	14
abaixando	63	59
abaixar	552	471
abaixaram	10	10
abaixarei	4	4
abaixarem	26	23
abaixaremos	4	4
abaixaria	11	11
abaixarmos	6	6
abaixará	11	11
abaixase	4	3
abaixasse	9	8
abaixaste	4	3
abaixate	24	16
abaixava	5	5
abaixe	1855	1207
abaixea	24	17
abaixei	46	44
abaixem	469	342
abaixeme	12	7
abaixemnas	4	3
abaixemno	4	3
abaixemnos	5	3
abaixemos	6	6
abaixemse	474	331
abaixeo	9	9
abaixese	766	530
abaixo	3997	2468
abaixoassinado	21	11
abaixoassinados	5	5
abaixou	74	69
abaixouse	3	3
abaixála	8	8
abaixálo	7	7
abajo	8	4
abajour	5	5
abajur	116	88
abajures	14	13
abala	31	29
abalada	141	131
abaladas	12	12
abalado	151	142
abalados	33	32
abalam	8	7
abalamos	3	3
abalando	5	5
abalar	88	83
abalaram	15	15
abalaria	10	10
abalariam	4	4
abalará	7	7
abalarão	4	4
abale	11	11
abalei	4	4
abalo	34	29
abalone	15	4
abalos	10	10
abalou	67	66
abalroar	3	3
abalxo	4	3
abalála	3	3
abana	31	25
abanador	3	3
abanam	9	4
abanando	65	55
abanar	81	62
abanarse	3	3
abanava	4	4
abandona	262	230
abandonada	534	446
abandonadas	108	98
abandonado	858	741
abandonados	201	175
abandonai	6	6
abandonala	3	3
abandonalo	4	4
abandonalos	3	3
abandonam	89	87
abandoname	5	5
abandonamos	71	67
abandonando	189	173
abandonandoo	5	5
abandonar	1500	1207
abandonara	9	9
abandonaram	259	231
abandonaramme	7	6
abandonaramno	4	4
abandonarei	76	70
abandonarem	14	14
abandonaremos	32	30
abandonaria	91	81
abandonariam	7	7
abandonarme	20	19
abandonarmos	13	13
abandonarnos	4	4
abandonarte	4	4
abandonará	70	64
abandonarão	18	18
abandonas	5	5
abandonasse	42	41
abandonassem	10	10
abandonasses	3	3
abandonaste	27	25
abandonasteme	3	3
abandonastes	8	7
abandonava	13	13
abandonavam	8	7
abandone	341	287
abandonei	269	245
abandoneio	4	4
abandonem	105	83
abandonemos	12	11
abandones	18	15
abandono	215	194
abandonos	3	3
abandonou	1145	943
abandonoua	5	5
abandonoume	18	16
abandonounos	6	6
abandonouo	5	5
abandonoute	4	4
abandonáio	8	7
abandonála	93	89
abandonálas	8	8
abandonálo	118	116
abandonálos	46	45
abandonámos	3	3
abandonãlo	3	3
abandou	7	7
abane	22	19
abanei	7	5
abano	10	9
abanou	12	9
abanálo	3	3
abarca	10	10
abarcando	3	3
abarcar	8	7
abarcou	3	3
abarrotada	6	6
abarrotadas	9	7
abarrotado	25	24
abarrotados	7	7
abarrotam	5	5
abarrotar	12	12
abas	26	21
abassi	12	4
abastada	13	13
abastadas	8	8
abastado	18	17
abastados	20	12
abastece	31	30
abastecem	10	10
abastecemos	9	9
abastecendo	20	20
abastecer	160	139
abastecerem	3	3
abastecermos	4	4
abasteceu	14	10
abasteci	3	3
abastecia	6	6
abasteciam	4	4
abastecida	7	7
abastecidas	4	4
abastecido	46	44
abastecidos	21	17
abastecimento	146	123
abastecimentos	11	9
abastecêlos	3	3
abasteça	15	13
abasteço	8	8
abata	15	15
abatam	7	6
abatamno	3	3
abatao	4	4
abataos	3	3
abate	96	83
abatedores	4	3
abatedouro	26	24
abatelo	3	3
abatem	10	10
abatemos	24	23
abatendo	12	12
abater	198	161
